raman_shift_cm-1,lactose,casein,melamine,starch,tg_base,carotene
400.0,0.020875164410482594,0.00032513640053935804,0.0010988155498427086,0.012297734957172558,0.00032964997154869165,0.0001543744584230103
402.0,0.02169764048859098,0.0003266159502592294,0.001117054091798577,0.012922600964845942,0.00033119122227173736,0.00015517110208510316
404.0,0.022815479047699164,0.0003281063717406177,0.0011357862321377285,0.01359761521820647,0.0003327437971311432,0.00015597418757510304
406.0,0.024270278801284316,0.00032960777947120394,0.0011550309545959217,0.014328282132679723,0.00033430781196904766,0.0001567837869672303
408.0,0.02612063094136145,0.0003311202895464549,0.0011748082055909605,0.015120878445076256,0.0003358833841670385,0.00015759997337549806
410.0,0.028447334583298192,0.0003326440196982106,0.0011951389555113821,0.015982586152212357,0.0003374706326715244,0.00015842282097219007
412.0,0.03136117042668879,0.0003341790893238904,0.001216045264731893,0.01692165273992984,0.00033906967801960926,0.00015925240500673052
414.0,0.03501449716336248,0.00033572561951633275,0.001237550354785257,0.017947585246652596,0.0003406806423654788,0.0001600888018249551
416.0,0.039618700469756525,0.00033728373309428636,0.0012596786851654259,0.01907138650942268,0.0003423036495073116,0.00016093208888879335
418.0,0.04547077289076081,0.00033885355463356717,0.0012824560362871599,0.02030584430826081,0.0003439388249147282,0.0001617823447963728
420.0,0.05299433336585128,0.0003404352104989008,0.0013059095991839016,0.021665887254635696,0.0003455862957567888,0.00016263964930255534
422.0,0.06280360270182882,0.00034202882887646657,0.0013300680725891385,0.023169025436903926,0.00034724619093055387,0.00016350408333991613
424.0,0.07580346933004184,0.0003436345398071617,0.0013549617681177493,0.024835899425156974,0.0003489186410902204,0.0001643757290401771
426.0,0.09334355402063098,0.00034525247522060527,0.001380622724344091,0.0266909687941683,0.00035060377867684675,0.00016525466975610565
428.0,0.11744092415573,0.0003468827689699002,0.0014070848306639997,0.02876338162087858,0.0003523017379486816,0.000166140990083891
430.0,0.15103956623283724,0.0003485255568671736,0.0014343839619299706,0.031088080564488974,0.0003540126550121089,0.00016703477588600945
432.0,0.19805738711409263,0.0003501809767199164,0.0014625581249641758,0.033707220753182374,0.00035573666785322655,0.00016793611431459253
434.0,0.262217879286491,0.0003518491683681432,0.0014916476181846933,0.036672002132372906,0.00035747391637007094,0.00016884509383530892
436.0,0.341927230167473,0.00035353027372239415,0.0015216952057285345,0.04004505763315655,0.0003592245424055038,0.00016976180425177522
438.0,0.4186325884590447,0.00035522443680260056,0.001552746307623505,0.04390359361969335,0.00036098868978078026,0.0001706863367305077
440.0,0.45250055464464983,0.0003569318037778397,0.0015848492077525983,0.04834355820656236,0.0003627665043298078,0.00017161878382643028
442.0,0.4184506504113654,0.00035865252300699984,0.0016180552815732118,0.053485227626319194,0.0003645581339341206,0.00017255923950895228
444.0,0.3415621207683173,0.00036038674508038224,0.0016524192458030906,0.059480767972987736,0.000366363728558581,0.0001735077991886308
446.0,0.2616671118983845,0.00036213462286226433,0.001687999432570618,0.0665245747990089,0.00036818344028782796,0.00017446455974443411
448.0,0.1973171811029242,0.00036389631153445134,0.0017248580908546137,0.07486755346467296,0.0003700174233634909,0.0001754296195516206
450.0,0.15010478443637373,0.00036567196864084194,0.0017630617184151323,0.08483703138313739,0.0003718658342221872,0.0001764030785102494
452.0,0.11630498655577022,0.00036746175413303767,0.0018026814278499367,0.09686475739803486,0.0003737288315343229,0.00017738503807434113
454.0,0.0919983249030662,0.000369265830417023,0.0018437933509110377,0.11152651300555771,0.000375606576243716,0.00017837560128170388
456.0,0.07423911429136552,0.00037108436240094686,0.0018864790857933895,0.12959824538998246,0.0003774992316080636,0.00017937487278444362
458.0,0.06100841074448287,0.0003729175175440358,0.0019308261927770917,0.15213508431225112,0.0003794069632402727,0.00018038295888017644
460.0,0.05095449795089202,0.0003747654659066711,0.001976928744381646,0.18058001781438468,0.00038132993915067733,0.00018139996754396232
462.0,0.04317012409665708,0.0003766283802016607,0.0020248879370953635,0.21690472750863987,0.0003832683297901636,0.00018242600846097911
464.0,0.0370383782236678,0.00037850643584674197,0.002074812772798368,0.2637654336583496,0.00038522230809422565,0.0001834611930599572
466.0,0.03213255270826692,0.000380399811018348,0.0021268208192319845,0.32459287554230914,0.000387192049527976,0.00018450563454739535
