raman_shift_cm-1,intensity
400.0,2.903280410074393
402.0,2.8956368290659116
404.0,2.884410464037462
406.0,2.88922827135153
408.0,2.8584395965479996
410.0,2.865288550329753
412.0,2.854896550244231
414.0,2.8732744542481083
416.0,2.8598282892153732
418.0,2.8521956770566863
420.0,2.8431158067554922
422.0,2.85663164709112
424.0,2.8681770242847224
426.0,2.873307537656495
428.0,2.9220900137271886
430.0,2.943260011608828
432.0,2.9092645499471708
434.0,2.983238721199732
436.0,3.0906297643878493
438.0,3.1558097342664264
440.0,3.195843389507562
442.0,3.1553420620710115
444.0,3.1099647788495663
446.0,2.958999336149431
448.0,2.902890258548094
450.0,2.8976636489944654
452.0,2.829546385830285
454.0,2.7991964263527787
456.0,2.7515508390119394
458.0,2.709319237127763
460.0,2.7292819959711956
462.0,2.714059814410557
464.0,2.674957219801526
466.0,2.6747155817219554
468.0,2.6767655902688205
470.0,2.649872654948098
472.0,2.6579410599214928
474.0,2.653415785534821
476.0,2.644190609750227
478.0,2.6256319045574616
480.0,2.640165857603407
482.0,2.6388611978543355
484.0,2.6203835694167816
486.0,2.590686950859537
488.0,2.614905144053165
490.0,2.5835826670253597
492.0,2.604639131501472
494.0,2.5591583535573434
496.0,2.592505917026464
498.0,2.5675141563267485
500.0,2.5367090191932484
502.0,2.5492386517248895
504.0,2.5504905912301905
506.0,2.548811414460342
508.0,2.517710455011661
510.0,2.5092539034241756
512.0,2.5294860504408563
514.0,2.510295882578598
516.0,2.5185189811746533
518.0,2.523216936814647
520.0,2.4693065742234865
522.0,2.5016625513993125
524.0,2.5153956381947533
526.0,2.479314398316498
528.0,2.463444207497776
530.0,2.4891333699166402
532.0,2.473617039627206
534.0,2.4809562776803005
536.0,2.4506550377991334
538.0,2.4224733490998682
540.0,2.4444889400790157
542.0,2.432380609977734
544.0,2.4514397846352285
546.0,2.4344697958289427
548.0,2.3926712917925776
550.0,2.396103100604284
552.0,2.43242684494789
554.0,2.423117374952465
556.0,2.39151423986649
558.0,2.39912091940683
560.0,2.4029016612131824
562.0,2.3982318454030773
564.0,2.4012872265604877
566.0,2.383815569427362
568.0,2.371737421588977
570.0,2.3634296337547682
572.0,2.384718360963208
574.0,2.3136074698189115
576.0,2.350896485363519
578.0,2.3493984701608714
580.0,2.315324065413592
582.0,2.3456034610556
584.0,2.3210611537110224
586.0,2.346498575114804
588.0,2.3219239471086173
590.0,2.333028056772915
592.0,2.3392540545388214
594.0,2.3177908498662854
596.0,2.2878956983749132
598.0,2.270424304569789
600.0,2.3311015176089978
602.0,2.289153663993441
604.0,2.2729763115932893
606.0,2.2850232035599816
608.0,2.2737225562529093
610.0,2.2900285429025034
612.0,2.269121296103356
